City,Country,Business services 2011 (%),Employment rate 2011 (%),GVA 2011 (Â£ billion),GVA per worker 2011 (Â£),High skilled population 2011 (%),Low skilled population 2011 (%),"Manufacturing, mining and utilities 2011 (%)",Medium skilled population 2011 (%),Other private services 2011 (%),Other sectors 2011 (%),Patent applications to the EPO 2011 (per 100K of population),Population 2011,Public services 2011 (%),Total jobs 2011,Unemployment rate 2011 (%)
A Coruña,Spain,24.46,62.32,5.85,48600.00,45.15,31.16,5.72,23.53,38.51,7.87,3.01,245053.00,23.44,120300.00,16.86
Aachen,Germany,26.96,61.07,7.56,46800.00,36.62,17.59,10.95,45.52,26.28,3.03,82.49,258664.00,32.78,161700.00,8.33
Aalborg,Denmark,18.05,71.30,5.13,47900.00,35.08,19.68,10.15,41.47,27.86,6.37,17.73,199188.00,37.58,107200.00,5.12
Aberdeen,United Kingdom,25.38,76.24,10.02,56800.00,40.63,37.66,20.20,21.71,25.78,3.78,23.49,222793.00,24.87,176400.00,7.51
Aix-en-Provence,France,24.94,67.79,10.50,60900.00,42.13,15.45,10.66,39.60,28.72,7.80,14.40,355721.00,27.88,172600.00,11.39
Albacete,Spain,14.92,62.58,2.95,48600.00,35.96,43.02,9.23,20.79,35.08,13.85,1.16,171999.00,26.92,60700.00,18.85
Alcalá de Henares,Spain,16.83,63.30,3.68,59200.00,30.92,43.52,15.48,25.29,43.10,6.56,3.15,200505.00,18.02,62100.00,20.58
Alcorcón,Spain,18.11,62.78,2.72,57800.00,35.27,38.28,8.44,26.45,49.70,8.60,2.80,167217.00,15.15,47100.00,19.15
Aldershot,United Kingdom,33.68,77.02,5.10,56400.00,34.93,26.80,9.86,31.93,32.12,3.79,24.94,179951.00,20.54,90300.00,5.90
Alicante,Spain,20.16,59.93,6.82,51300.00,35.82,39.64,4.88,24.36,34.53,6.89,2.05,329325.00,33.53,132900.00,23.57
Almería,Spain,22.48,58.57,3.08,51700.00,35.68,45.33,2.41,18.72,35.05,16.70,0.25,189680.00,23.36,59600.00,24.49
Almere,Netherlands,26.45,75.49,3.28,50500.00,30.12,24.64,6.84,40.16,34.89,3.92,3.31,190655.00,27.89,65000.00,4.81
Amersfoort,Netherlands,29.17,78.82,4.93,59100.00,41.40,21.92,6.98,34.09,29.30,4.71,9.86,146592.00,29.85,83500.00,2.56
Amiens,France,17.17,62.27,4.72,48800.00,32.33,23.05,11.33,41.02,26.80,5.60,11.85,175438.00,39.09,96800.00,16.79
Amsterdam,Netherlands,37.79,74.79,48.07,75200.00,47.93,20.18,4.57,29.43,28.22,2.49,13.34,1008544.00,26.93,639300.00,5.52
Angers,France,19.27,66.14,6.31,47600.00,35.12,17.81,10.53,44.11,26.60,7.49,8.96,265521.00,36.11,132700.00,13.91
Annecy,France,20.48,75.17,4.40,53500.00,40.39,15.22,13.86,42.68,28.33,7.26,37.03,139792.00,30.07,82300.00,9.60
Antwerp,Belgium,26.63,62.40,18.99,72300.00,25.85,28.28,11.81,29.24,30.48,3.08,16.60,498473.00,28.00,262700.00,9.46
Apeldoorn,Netherlands,25.79,73.89,4.80,52100.00,29.36,24.66,8.90,39.93,23.07,4.57,15.93,156199.00,37.67,92000.00,3.85
Argenteuil - Bezons,France,20.93,67.69,2.75,62700.00,24.23,27.32,14.53,46.30,26.09,8.47,11.94,132578.00,29.97,43800.00,16.00
Arnhem,Netherlands,28.10,72.37,5.36,51500.00,36.28,23.41,7.86,37.46,23.05,2.35,19.28,148070.00,38.64,104200.00,6.25
Athens,Greece,23.91,59.74,51.46,54200.00,35.43,19.05,9.28,44.28,35.34,3.74,1.37,2641511.00,27.73,949100.00,17.62
Augsburg,Germany,22.57,77.20,8.98,52000.00,32.07,18.81,18.58,51.58,27.08,3.59,26.62,264708.00,28.18,172800.00,6.57
Avignon,France,16.89,63.30,4.27,50900.00,31.17,21.59,7.96,45.38,34.26,7.39,9.42,176940.00,33.50,83900.00,17.13
Badajoz,Spain,20.41,55.02,2.49,48500.00,37.02,41.81,4.11,21.09,32.96,12.90,0.33,151214.00,29.62,51400.00,25.70
Barcelona,Spain,27.99,62.99,79.20,53700.00,40.32,37.14,9.57,22.37,36.40,6.91,8.16,3184502.00,19.13,1473800.00,17.82
Bari,Italy,23.38,64.65,6.66,50100.00,21.46,40.92,7.44,35.55,35.43,4.99,3.49,320475.00,4.68,132900.00,15.77
Barnsley,United Kingdom,14.88,68.43,3.03,41100.00,21.58,40.31,14.92,33.48,31.80,6.62,1.62,231221.00,31.78,73700.00,10.26
